Time;TIME_sec;Start;fix;latitude;longitude;altitude;HDOP;VDOP;satnum;Speed
20230116 085530.263308;1673855730.263308;False;Fix not available;;;;;*1E;00;
20230116 085531.281820;1673855731.28182;False;Fix not available;;;;;*1E;00;
20230116 085532.259523;1673855732.259523;False;Fix not available;;;;;*1E;00;
20230116 085533.427024;1673855733.427024;False;Fix not available;;;;;*1E;00;
20230116 085534.257628;1673855734.257628;False;Fix not available;;;;;*1E;00;
20230116 085535.264924;1673855735.264924;False;Fix not available;;;;;*1E;00;
20230116 085536.264224;1673855736.264224;False;Fix not available;;;;;*1E;00;
20230116 085537.259508;1673855737.259508;False;Fix not available;;;;;*1E;00;
20230116 085538.792289;1673855738.792289;False;3D;4211.1428;01212.1885;9.5;2.8;3.1*31;04;0.0
20230116 085539.295403;1673855739.295403;False;Fix not available;;;;;*1E;00;
20230116 085540.282340;1673855740.28234;False;Fix not available;;;;;*1E;00;
20230116 085541.283612;1673855741.283612;False;Fix not available;;;;;*1E;00;
20230116 085542.286430;1673855742.28643;False;Fix not available;;;;;*1E;00;
20230116 085543.591513;1673855743.591513;False;Fix not available;;;;;*1E;00;
20230116 085544.285740;1673855744.28574;False;Fix not available;;;;;*1E;00;
20230116 085545.282431;1673855745.282431;False;Fix not available;;;;;*1E;00;
20230116 085546.286045;1673855746.286045;False;Fix not available;;;;;*1E;00;
20230116 085547.285197;1673855747.285197;False;Fix not available;;;;;*1E;00;
20230116 085548.606168;1673855748.606168;False;Fix not available;;;;;*1E;00;
20230116 085549.280136;1673855749.280136;False;Fix not available;;;;;*1E;00;
20230116 085550.282806;1673855750.282806;False;Fix not available;;;;;*1E;00;
20230116 085551.279532;1673855751.279532;False;Fix not available;;;;;*1E;00;
20230116 085552.279746;1673855752.279746;False;Fix not available;;;;;*1E;00;
20230116 085553.589572;1673855753.589572;False;Fix not available;;;;;*1E;00;
20230116 085554.449537;1673855754.449537;False;3D;4211.1239;01212.1526;-69.6;2.8;3.1*31;04;0.0
20230116 085555.261656;1673855755.261656;False;Fix not available;;;;;*1E;00;
20230116 085556.261144;1673855756.261144;False;Fix not available;;;;;*1E;00;
20230116 085557.261118;1673855757.261118;False;Fix not available;;;;;*1E;00;
20230116 085558.579505;1673855758.579505;False;Fix not available;;;;;*1E;00;
20230116 085559.261394;1673855759.261394;False;Fix not available;;;;;*1E;00;
20230116 085600.270377;1673855760.270377;False;Fix not available;;;;;*1E;00;
20230116 085601.264193;1673855761.264193;False;Fix not available;;;;;*1E;00;
20230116 085602.260818;1673855762.260818;False;Fix not available;;;;;*1E;00;
20230116 085603.576986;1673855763.576986;False;Fix not available;;;;;*1E;00;
20230116 085604.266823;1673855764.266823;False;Fix not available;;;;;*1E;00;
20230116 085605.260860;1673855765.26086;False;Fix not available;;;;;*1E;00;
20230116 085606.267952;1673855766.267952;False;Fix not available;;;;;*1E;00;
20230116 085607.259435;1673855767.259435;False;Fix not available;;;;;*1E;00;
20230116 085608.570701;1673855768.570701;False;Fix not available;;;;;*1E;00;
20230116 085609.256330;1673855769.25633;False;Fix not available;;;;;*1E;00;
20230116 085610.271882;1673855770.271882;False;Fix not available;;;;;*1E;00;
20230116 085611.259776;1673855771.259776;False;Fix not available;;;;;*1E;00;
20230116 085612.279287;1673855772.279287;False;Fix not available;;;;;*1E;00;
20230116 085613.579338;1673855773.579338;False;Fix not available;;;;;*1E;00;
20230116 085614.258065;1673855774.258065;False;Fix not available;;;;;*1E;00;
20230116 085615.264380;1673855775.26438;False;Fix not available;;;;;*1E;00;
20230116 085616.262127;1673855776.262127;False;Fix not available;;;;;*1E;00;
20230116 085617.260774;1673855777.260774;False;Fix not available;;;;;*1E;00;
20230116 085618.589639;1673855778.589639;False;Fix not available;;;;;*1E;00;
20230116 085619.259143;1673855779.259143;False;Fix not available;;;;;*1E;00;
20230116 085620.258783;1673855780.258783;False;Fix not available;;;;;*1E;00;
20230116 085621.253525;1673855781.253525;False;Fix not available;;;;;*1E;00;
20230116 085622.250581;1673855782.250581;False;Fix not available;;;;;*1E;00;
20230116 085623.547136;1673855783.547136;False;Fix not available;;;;;*1E;00;
20230116 085624.255261;1673855784.255261;False;Fix not available;;;;;*1E;00;
20230116 085625.262147;1673855785.262147;False;Fix not available;;;;;*1E;00;
20230116 085626.274834;1673855786.274834;False;Fix not available;;;;;*1E;00;
20230116 085627.277567;1673855787.277567;False;Fix not available;;;;;*1E;00;
20230116 085628.588130;1673855788.58813;False;Fix not available;;;;;*1E;00;
20230116 085629.275758;1673855789.275758;False;Fix not available;;;;;*1E;00;
20230116 085630.282800;1673855790.2828;False;Fix not available;;;;;*1E;00;
20230116 085631.287648;1673855791.287648;False;Fix not available;;;;;*1E;00;
20230116 085632.282773;1673855792.282773;False;Fix not available;;;;;*1E;00;
20230116 085633.591929;1673855793.591929;False;Fix not available;;;;;*1E;00;
20230116 085634.279356;1673855794.279356;False;Fix not available;;;;;*1E;00;
20230116 085635.287649;1673855795.287649;False;Fix not available;;;;;*1E;00;
20230116 085636.279608;1673855796.279608;False;Fix not available;;;;;*1E;00;
20230116 085637.279101;1673855797.279101;False;Fix not available;;;;;*1E;00;
20230116 085638.777223;1673855798.777223;False;3D;4202.6085;01218.4493;130.8;2.1;3.0*3D;05;0.0
20230116 085639.462563;1673855799.462563;False;3D;4202.6054;01218.4604;155.0;2.1;3.0*3D;05;0.0
20230116 085640.466865;1673855800.466865;False;3D;4202.6096;01218.4502;142.9;2.1;3.0*3D;05;0.0
20230116 085641.464367;1673855801.464367;False;3D;4202.6022;01218.4650;183.6;2.1;3.0*3D;05;0.0
20230116 085642.464059;1673855802.464059;False;3D;4202.6119;01218.4395;151.3;2.1;3.0*3D;05;0.0
20230116 085643.785872;1673855803.785872;False;3D;4202.6085;01218.4420;165.6;2.1;3.0*3D;05;17.0384
20230116 085644.763737;1673855804.763737;False;3D;4202.6098;01218.4387;167.4;2.1;3.0*3D;05;17.093960000000003
20230116 085645.765436;1673855805.765436;False;3D;4202.6098;01218.4362;174.8;2.1;3.0*3D;05;16.427239999999998
20230116 085646.765283;1673855806.765283;False;3D;4202.6096;01218.4332;174.1;2.1;3.0*3D;05;14.390039999999999
20230116 085647.799137;1673855807.799137;False;3D;4202.6100;01218.4302;171.2;2.1;3.0*3D;05;11.2972
20230116 085648.984848;1673855808.984848;False;3D;4202.6101;01218.4278;168.9;2.1;3.0*3D;05;7.945080000000001
20230116 085649.764724;1673855809.764724;False;3D;4202.6102;01218.4264;167.9;2.1;3.0*3D;05;4.963360000000001
20230116 085650.761758;1673855810.761758;False;3D;4202.6103;01218.4256;167.7;2.1;3.0*3D;05;4.00032
20230116 085651.764873;1673855811.764873;False;3D;4202.6104;01218.4245;167.6;2.1;3.0*3D;05;6.8894400000000005
20230116 085652.761340;1673855812.76134;False;3D;4202.6104;01218.4232;167.7;2.1;3.0*3D;05;6.53756
20230116 085654.088638;1673855814.088638;False;3D;4202.6104;01218.4226;168.0;2.1;3.0*3D;05;1.5742
20230116 085654.768878;1673855814.768878;False;3D;4202.6104;01218.4226;168.5;2.1;3.0*3D;05;0.07408000000000001
20230116 085655.769945;1673855815.769945;False;3D;4202.6104;01218.4227;168.7;2.1;3.0*3D;05;0.16668
20230116 085656.766637;1673855816.766637;False;3D;4202.6105;01218.4227;168.8;2.1;3.0*3D;05;0.14816000000000001
20230116 085657.769540;1673855817.76954;False;3D;4202.6105;01218.4228;168.9;2.1;3.0*3D;05;0.14816000000000001
20230116 085659.087679;1673855819.087679;False;3D;4202.6106;01218.4228;169.1;2.1;3.0*3D;05;0.12964
20230116 085659.767402;1673855819.767402;False;3D;4202.6106;01218.4228;169.4;2.1;3.0*3D;05;0.12964
20230116 085700.769238;1673855820.769238;False;3D;4202.6106;01218.4228;169.6;2.1;3.0*3D;05;0.14816000000000001
20230116 085701.765282;1673855821.765282;False;3D;4202.6106;01218.4228;169.8;2.1;3.0*3D;05;0.12964
20230116 085702.765150;1673855822.76515;False;3D;4202.6107;01218.4228;170.1;2.1;3.0*3D;05;0.16668
20230116 085704.088743;1673855824.088743;False;3D;4202.6107;01218.4228;170.4;2.1;3.0*3D;05;0.07408000000000001
20230116 085704.767274;1673855824.767274;False;3D;4202.6107;01218.4228;170.7;2.1;3.0*3D;05;0.16668
20230116 085705.768499;1673855825.768499;False;3D;4202.6107;01218.4228;171.0;2.1;3.0*3D;05;0.16668
20230116 085706.771484;1673855826.771484;False;3D;4202.6107;01218.4229;171.2;2.1;3.0*3D;05;0.14816000000000001
20230116 085707.762921;1673855827.762921;False;3D;4202.6107;01218.4228;171.4;2.1;3.0*3D;05;0.09260000000000002
20230116 085709.086016;1673855829.086016;False;3D;4202.6107;01218.4229;171.7;2.1;3.0*3D;05;0.20372
20230116 085709.767682;1673855829.767682;False;3D;4202.6108;01218.4229;171.9;2.1;3.0*3D;05;0.12964
20230116 085710.763439;1673855830.763439;False;3D;4202.6108;01218.4229;172.2;2.1;3.0*3D;05;0.16668
20230116 085711.764682;1673855831.764682;False;3D;4202.6108;01218.4229;172.5;2.1;3.0*3D;05;0.07408000000000001
20230116 085712.771327;1673855832.771327;False;3D;4202.6108;01218.4229;172.9;2.1;3.0*3D;05;0.16668
20230116 085714.099713;1673855834.099713;False;3D;4202.6108;01218.4230;173.3;2.1;3.0*3D;05;0.20372
20230116 085714.763388;1673855834.763388;False;3D;4202.6108;01218.4230;173.6;2.1;3.0*3D;05;0.14816000000000001
20230116 085715.767527;1673855835.767527;False;3D;4202.6108;01218.4230;174.1;2.1;3.0*3D;05;0.18520000000000003
20230116 085716.768583;1673855836.768583;False;3D;4202.6108;01218.4231;174.5;2.1;3.0*3D;05;0.18520000000000003
20230116 085717.779410;1673855837.77941;False;3D;4202.6108;01218.4231;174.9;2.1;3.0*3D;05;0.18520000000000003
20230116 085719.083829;1673855839.083829;False;3D;4202.6108;01218.4232;175.4;2.1;3.0*3D;05;0.22224
20230116 085719.764736;1673855839.764736;False;3D;4202.6108;01218.4232;175.8;2.1;3.0*3D;05;0.22224
20230116 085720.764116;1673855840.764116;False;3D;4202.6108;01218.4233;176.1;2.1;3.0*3D;05;0.22224
20230116 085721.765561;1673855841.765561;False;3D;4202.6108;01218.4233;176.5;2.1;3.0*3D;05;0.20372
20230116 085722.764981;1673855842.764981;False;3D;4202.6108;01218.4234;176.7;2.1;3.0*3D;05;0.20372
20230116 085724.085677;1673855844.085677;False;3D;4202.6108;01218.4234;177.0;2.1;3.0*3D;05;0.24076000000000003
20230116 085724.764342;1673855844.764342;False;3D;4202.6108;01218.4235;177.2;2.1;3.0*3D;05;0.20372
20230116 085725.765004;1673855845.765004;False;3D;4202.6107;01218.4235;177.5;2.1;3.0*3D;05;0.20372
20230116 085726.770607;1673855846.770607;False;3D;4202.6107;01218.4235;177.7;2.1;3.0*3D;05;0.18520000000000003
20230116 085727.768102;1673855847.768102;False;3D;4202.6107;01218.4236;178.0;2.1;3.0*3D;05;0.16668
20230116 085729.088936;1673855849.088936;False;3D;4202.6107;01218.4236;178.2;2.1;3.0*3D;05;0.20372
20230116 085729.763785;1673855849.763785;False;3D;4202.6107;01218.4236;178.4;2.1;3.0*3D;05;0.20372
20230116 085730.773153;1673855850.773153;False;3D;4202.6107;01218.4237;178.6;2.1;3.0*3D;05;0.18520000000000003
20230116 085731.766739;1673855851.766739;False;3D;4202.6107;01218.4237;178.8;2.1;3.0*3D;05;0.20372
20230116 085732.765903;1673855852.765903;False;3D;4202.6107;01218.4237;178.9;2.1;3.0*3D;05;0.16668
20230116 085734.083820;1673855854.08382;False;3D;4202.6106;01218.4238;179.0;2.1;3.0*3D;05;0.16668
20230116 085734.764401;1673855854.764401;False;3D;4202.6106;01218.4238;179.2;2.1;3.0*3D;05;0.14816000000000001
20230116 085735.765959;1673855855.765959;False;3D;4202.6106;01218.4238;179.3;2.1;3.0*3D;05;0.20372
20230116 085736.768582;1673855856.768582;False;3D;4202.6106;01218.4238;179.4;2.1;3.0*3D;05;0.18520000000000003
20230116 085737.770785;1673855857.770785;False;3D;4202.6106;01218.4239;179.5;2.1;3.0*3D;05;0.14816000000000001
20230116 085739.086389;1673855859.086389;False;3D;4202.6105;01218.4239;179.5;2.1;3.0*3D;05;0.20372
20230116 085739.767168;1673855859.767168;False;3D;4202.6105;01218.4239;179.6;2.1;3.0*3D;05;0.16668
20230116 085740.764036;1673855860.764036;False;3D;4202.6105;01218.4239;179.6;2.1;3.0*3D;05;0.12964
20230116 085741.770272;1673855861.770272;False;3D;4202.6105;01218.4239;179.7;2.1;3.0*3D;05;0.16668
20230116 085742.764367;1673855862.764367;False;3D;4202.6105;01218.4239;179.7;2.1;3.0*3D;05;0.12964
20230116 085744.084147;1673855864.084147;False;3D;4202.6105;01218.4239;179.7;2.1;3.0*3D;05;0.12964
20230116 085744.766250;1673855864.76625;False;3D;4202.6105;01218.4240;179.7;2.1;3.0*3D;05;0.14816000000000001
20230116 085745.764380;1673855865.76438;False;3D;4202.6104;01218.4240;179.7;2.1;3.0*3D;05;0.14816000000000001
20230116 085746.763537;1673855866.763537;False;3D;4202.6104;01218.4240;179.7;2.1;3.0*3D;05;0.11112
20230116 085747.784220;1673855867.78422;False;3D;4202.6104;01218.4239;179.6;2.1;3.0*3D;05;0.14816000000000001
20230116 085749.087550;1673855869.08755;False;3D;4202.6104;01218.4239;179.5;2.1;3.0*3D;05;0.12964
20230116 085749.771298;1673855869.771298;False;3D;4202.6104;01218.4239;179.4;2.1;3.0*3D;05;0.14816000000000001
20230116 085750.766258;1673855870.766258;False;3D;4202.6104;01218.4239;179.3;2.1;3.0*3D;05;0.14816000000000001
20230116 085751.770095;1673855871.770095;False;3D;4202.6104;01218.4239;179.2;2.1;3.0*3D;05;0.14816000000000001
20230116 085752.765880;1673855872.76588;False;3D;4202.6104;01218.4239;179.1;2.1;3.0*3D;05;0.12964
20230116 085754.092471;1673855874.092471;False;3D;4202.6103;01218.4239;179.0;2.1;3.0*3D;05;0.11112
20230116 085754.764374;1673855874.764374;False;3D;4202.6103;01218.4239;178.9;2.1;3.0*3D;05;0.20372
20230116 085755.764060;1673855875.76406;False;3D;4202.6103;01218.4239;178.7;2.1;3.0*3D;05;0.11112
20230116 085756.766767;1673855876.766767;False;3D;4202.6103;01218.4238;178.6;2.1;3.0*3D;05;0.14816000000000001
20230116 085757.763392;1673855877.763392;False;3D;4202.6103;01218.4238;178.5;2.1;3.0*3D;05;0.12964
20230116 085759.090162;1673855879.090162;False;3D;4202.6103;01218.4238;178.3;2.1;3.0*3D;05;0.11112
20230116 085759.766168;1673855879.766168;False;3D;4202.6103;01218.4238;178.1;2.1;3.0*3D;05;0.14816000000000001
20230116 085800.770236;1673855880.770236;False;3D;4202.6103;01218.4238;177.9;2.1;3.0*3D;05;0.14816000000000001
20230116 085801.767837;1673855881.767837;False;3D;4202.6103;01218.4235;176.3;2.1;3.0*3D;05;0.20372
20230116 085802.764655;1673855882.764655;False;3D;4202.6103;01218.4232;175.2;2.1;3.0*3D;05;0.31484000000000006
20230116 085804.090581;1673855884.090581;False;3D;4202.6103;01218.4230;173.5;2.1;3.0*3D;05;0.37040000000000006
20230116 085804.768673;1673855884.768673;False;3D;4202.6104;01218.4226;171.7;2.1;3.0*3D;05;0.44448
20230116 085805.763685;1673855885.763685;False;3D;4202.6104;01218.4223;169.7;2.1;3.0*3D;05;0.53708
20230116 085806.764138;1673855886.764138;False;3D;4202.6104;01218.4219;167.6;2.1;3.0*3D;05;0.61116
20230116 085807.763719;1673855887.763719;False;3D;4202.6105;01218.4213;164.5;2.1;3.0*3D;05;0.81488
20230116 085809.089640;1673855889.08964;False;3D;4202.6105;01218.4210;162.8;2.1;3.0*3D;05;0.926
20230116 085809.768777;1673855889.768777;False;3D;4202.6106;01218.4207;161.0;2.1;3.0*3D;05;0.926
20230116 085810.765924;1673855890.765924;False;3D;4202.6106;01218.4203;159.4;2.1;3.0*3D;05;1.9631200000000002
20230116 085811.773424;1673855891.773424;False;3D;4202.6106;01218.4195;158.2;2.1;3.0*3D;05;5.3708
20230116 085812.769893;1673855892.769893;False;3D;4202.6106;01218.4180;157.4;2.1;3.0*3D;05;9.01924
20230116 085814.088961;1673855894.088961;False;3D;4202.6105;01218.4158;156.6;2.1;3.0*3D;05;12.945480000000002
20230116 085814.768457;1673855894.768457;False;3D;4202.6105;01218.4126;155.8;2.1;3.0*3D;05;17.9644
20230116 085815.769815;1673855895.769815;False;3D;4202.6104;01218.4082;155.2;2.1;3.0*3D;05;23.613
20230116 085816.770960;1673855896.77096;False;3D;4202.6103;01218.4028;154.7;2.1;3.0*3D;05;29.187520000000003
20230116 085817.789653;1673855897.789653;False;3D;4202.6102;01218.3963;154.4;2.1;3.0*3D;05;33.46564
20230116 085819.090564;1673855899.090564;False;3D;4202.6102;01218.3891;154.1;2.1;3.0*3D;05;36.53996
20230116 085819.770806;1673855899.770806;False;3D;4202.6102;01218.3812;153.9;2.1;3.0*3D;05;40.63288000000001
20230116 085820.771928;1673855900.771928;False;3D;4202.6102;01218.3722;153.6;2.1;3.0*3D;05;45.966640000000005
20230116 085821.768280;1673855901.76828;False;3D;4202.6103;01218.3620;153.3;2.1;3.0*3D;05;52.448640000000005
20230116 085822.768670;1673855902.76867;False;3D;4202.6103;01218.3506;152.9;2.1;3.0*3D;05;58.134280000000004
20230116 085824.086331;1673855904.086331;False;3D;4202.6104;01218.3384;152.6;2.1;3.0*3D;05;59.93072
20230116 085824.770356;1673855904.770356;False;3D;4202.6104;01218.3266;152.4;2.1;3.0*3D;05;56.07856
20230116 085825.768669;1673855905.768669;False;3D;4202.6104;01218.3159;152.2;2.1;3.0*3D;05;50.170680000000004
20230116 085826.771759;1673855906.771759;False;3D;4202.6103;01218.3065;152.1;2.1;3.0*3D;05;43.72572
20230116 085827.767071;1673855907.767071;False;3D;4202.6102;01218.2984;151.9;2.1;3.0*3D;05;38.37344
20230116 085829.086211;1673855909.086211;False;3D;4202.6099;01218.2910;151.5;2.1;3.0*3D;05;36.53996
20230116 085829.767677;1673855909.767677;False;3D;4202.6097;01218.2840;151.1;2.1;3.0*3D;05;34.521280000000004
20230116 085830.767029;1673855910.767029;False;3D;4202.6096;01218.2775;151.1;2.1;3.0*3D;05;30.76172
20230116 085831.768475;1673855911.768475;False;3D;4202.6094;01218.2722;150.9;2.1;3.0*3D;05;24.2612
20230116 085832.766541;1673855912.766541;False;3D;4202.6094;01218.2681;151.1;2.1;3.0*3D;05;19.20524
20230116 085834.085714;1673855914.085714;False;3D;4202.6101;01218.2650;150.8;2.1;3.0*3D;05;14.704880000000001
20230116 085834.770303;1673855914.770303;False;3D;4202.6114;01218.2628;150.2;2.1;3.0*3D;05;12.66768
20230116 085835.766554;1673855915.766554;False;3D;4202.6135;01218.2624;150.3;2.1;3.0*3D;05;12.315800000000001
20230116 085836.770540;1673855916.77054;False;3D;4202.6159;01218.2626;150.5;2.1;3.0*3D;05;16.149440000000002
20230116 085837.766214;1673855917.766214;False;3D;4202.6184;01218.2622;150.9;2.1;3.0*3D;05;16.27908
20230116 085839.084405;1673855919.084405;False;3D;4202.6201;01218.2605;151.0;2.1;3.0*3D;05;16.3902
20230116 085839.769569;1673855919.769569;False;3D;4202.6217;01218.2576;151.8;2.1;3.0*3D;05;19.96456
20230116 085840.763095;1673855920.763095;False;3D;4202.6228;01218.2544;152.1;3.0;5.5*36;04;17.70512
20230116 085841.775069;1673855921.775069;False;3D;4202.6240;01218.2501;152.6;2.1;3.0*3D;05;23.150000000000002
20230116 085842.774831;1673855922.774831;False;3D;4202.6243;01218.2460;152.5;2.1;3.0*3D;05;19.05708
20230116 085844.089870;1673855924.08987;False;3D;4202.6246;01218.2420;152.4;2.1;3.0*3D;05;18.87188
20230116 085844.767437;1673855924.767437;False;3D;4202.6245;01218.2382;152.4;2.1;3.0*3D;05;18.40888
20230116 085845.768543;1673855925.768543;False;3D;4202.6240;01218.2344;151.4;2.1;3.0*3D;05;18.149600000000003
20230116 085846.772340;1673855926.77234;False;3D;4202.6234;01218.2307;151.4;2.1;3.0*3D;05;18.853360000000002
20230116 085847.767080;1673855927.76708;False;3D;4202.6233;01218.2274;151.6;2.1;3.0*3D;05;15.834600000000002
20230116 085849.083358;1673855929.083358;False;3D;4202.6229;01218.2244;151.4;2.1;3.0*3D;05;15.59384
20230116 085849.768615;1673855929.768615;False;3D;4202.6228;01218.2216;150.9;2.1;3.0*3D;05;12.48248
20230116 085850.768389;1673855930.768389;False;3D;4202.6227;01218.2194;150.6;2.1;3.0*3D;05;11.389800000000001
20230116 085851.768019;1673855931.768019;False;3D;4202.6227;01218.2168;150.6;2.1;3.0*3D;05;14.241880000000002
20230116 085852.767886;1673855932.767886;False;3D;4202.6228;01218.2137;150.1;2.1;3.0*3D;05;15.48272
20230116 085854.085274;1673855934.085274;False;3D;4202.6235;01218.2104;149.0;2.1;3.0*3D;05;16.18648
20230116 085854.783397;1673855934.783397;False;3D;4202.6250;01218.2071;148.1;2.1;3.0*3D;05;18.20516
20230116 085855.807440;1673855935.80744;False;3D;4202.6274;01218.2037;147.5;2.1;3.0*3D;05;22.1314
20230116 085856.769092;1673855936.769092;False;3D;4202.6304;01218.1996;147.1;2.1;3.0*3D;05;26.1132
20230116 085857.777831;1673855937.777831;False;3D;4202.6338;01218.1952;146.9;2.1;3.0*3D;05;29.15048
20230116 085859.089768;1673855939.089768;False;3D;4202.6371;01218.1909;146.5;2.1;3.0*3D;05;28.09484
20230116 085859.775176;1673855939.775176;False;3D;4202.6399;01218.1872;145.9;2.1;3.0*3D;05;24.59456
20230116 085900.774461;1673855940.774461;False;3D;4202.6427;01218.1847;145.7;2.1;3.0*3D;05;21.2054
20230116 085901.769949;1673855941.769949;False;3D;4202.6457;01218.1836;145.2;2.1;3.0*3D;05;21.761000000000003
20230116 085902.767890;1673855942.76789;False;3D;4202.6492;01218.1832;144.7;2.1;3.0*3D;05;23.5204
20230116 085904.086187;1673855944.086187;False;3D;4202.6514;01218.1852;144.2;2.1;3.0*3D;05;21.761000000000003
20230116 085904.769853;1673855944.769853;False;3D;4202.6536;01218.1884;144.0;2.1;3.0*3D;05;22.668480000000002
20230116 085905.766730;1673855945.76673;False;3D;4202.6533;01218.1951;144.0;2.1;3.0*3D;05;25.168680000000002
20230116 085906.761677;1673855946.761677;False;3D;4202.6525;01218.2032;144.2;2.1;3.0*3D;05;29.66904
20230116 085907.763740;1673855947.76374;False;3D;4202.6533;01218.2104;144.4;2.1;3.0*3D;05;33.16932
20230116 085909.084782;1673855949.084782;False;3D;4202.6543;01218.2179;144.4;2.1;3.0*3D;05;36.05844
20230116 085909.763895;1673855949.763895;False;3D;4202.6549;01218.2259;144.5;2.1;3.0*3D;05;38.3364
20230116 085910.766166;1673855950.766166;False;3D;4202.6551;01218.2341;144.7;2.1;3.0*3D;05;37.928960000000004
20230116 085911.768118;1673855951.768118;False;3D;4202.6550;01218.2418;145.0;2.1;3.0*3D;05;35.0954
20230116 085912.784347;1673855952.784347;False;3D;4202.6547;01218.2484;145.0;2.1;3.0*3D;05;29.5394
20230116 085914.086176;1673855954.086176;False;3D;4202.6545;01218.2537;144.8;2.1;3.0*3D;05;24.24268
20230116 085914.768336;1673855954.768336;False;3D;4202.6539;01218.2591;145.0;2.1;3.0*3D;05;26.40952
20230116 085915.769832;1673855955.769832;False;3D;4202.6536;01218.2648;144.4;2.1;3.0*3D;05;29.39124
20230116 085916.768204;1673855956.768204;False;3D;4202.6535;01218.2717;144.4;2.1;3.0*3D;05;34.31756
20230116 085917.800825;1673855957.800825;False;3D;4202.6537;01218.2794;144.3;2.1;3.0*3D;05;39.077200000000005
20230116 085918.986235;1673855958.986235;False;3D;4202.6542;01218.2880;144.0;2.1;3.0*3D;05;43.744240000000005
20230116 085919.767948;1673855959.767948;False;3D;4202.6549;01218.2973;143.6;2.1;3.0*3D;05;48.30016
